Circuito_A,F/N/T,Circuito_B,F/N/T ,Resistencia,Conforme,Observación
1,F,2,F,     , si [    ]     no [    ] ,                           
1,F,2,N,     , si [    ]     no [    ] ,                           
1,N,2,F,     , si [    ]     no [    ] ,                           
1,N,2,N,N/A,N/A,Mismo diferencial
1,F,3,F,     , si [    ]     no [    ] ,                           
1,F,3,N,     , si [    ]     no [    ] ,                           
1,N,3,F,     , si [    ]     no [    ] ,                           
1,N,3,N,     , si [    ]     no [    ] ,                           
1,F,4,F,     , si [    ]     no [    ] ,                           
1,F,4,N,     , si [    ]     no [    ] ,                           
1,N,4,F,     , si [    ]     no [    ] ,                           
1,N,4,N,     , si [    ]     no [    ] ,                           
1,F,5,F,     , si [    ]     no [    ] ,                           
1,F,5,N,     , si [    ]     no [    ] ,                           
1,N,5,F,     , si [    ]     no [    ] ,                           
1,N,5,N,     , si [    ]     no [    ] ,                           
1,F,6,F,     , si [    ]     no [    ] ,                           
1,F,6,N,     , si [    ]     no [    ] ,                           
1,N,6,F,     , si [    ]     no [    ] ,                           
1,N,6,N,     , si [    ]     no [    ] ,                           
1,F,7,F,     , si [    ]     no [    ] ,                           
1,F,7,N,     , si [    ]     no [    ] ,                           
1,N,7,F,     , si [    ]     no [    ] ,                           
1,N,7,N,     , si [    ]     no [    ] ,                           
2,F,3,F,     , si [    ]     no [    ] ,                           
2,F,3,N,     , si [    ]     no [    ] ,                           
2,N,3,F,     , si [    ]     no [    ] ,                           
2,N,3,N,     , si [    ]     no [    ] ,                           
2,F,4,F,     , si [    ]     no [    ] ,                           
2,F,4,N,     , si [    ]     no [    ] ,                           
2,N,4,F,     , si [    ]     no [    ] ,                           
2,N,4,N,     , si [    ]     no [    ] ,                           
2,F,5,F,     , si [    ]     no [    ] ,                           
2,F,5,N,     , si [    ]     no [    ] ,                           
2,N,5,F,     , si [    ]     no [    ] ,                           
2,N,5,N,     , si [    ]     no [    ] ,                           
2,F,6,F,     , si [    ]     no [    ] ,                           
2,F,6,N,     , si [    ]     no [    ] ,                           
2,N,6,F,     , si [    ]     no [    ] ,                           
2,N,6,N,     , si [    ]     no [    ] ,                           
2,F,7,F,     , si [    ]     no [    ] ,                           
2,F,7,N,     , si [    ]     no [    ] ,                           
2,N,7,F,     , si [    ]     no [    ] ,                           
2,N,7,N,     , si [    ]     no [    ] ,                           
3,F,4,F,     , si [    ]     no [    ] ,                           
3,F,4,N,     , si [    ]     no [    ] ,                           
3,N,4,F,     , si [    ]     no [    ] ,                           
3,N,4,N,N/A,N/A,Mismo diferencial
3,F,5,F,     , si [    ]     no [    ] ,                           
3,F,5,N,     , si [    ]     no [    ] ,                           
3,N,5,F,     , si [    ]     no [    ] ,                           
3,N,5,N,     , si [    ]     no [    ] ,                           
3,F,6,F,     , si [    ]     no [    ] ,                           
3,F,6,N,     , si [    ]     no [    ] ,                           
3,N,6,F,     , si [    ]     no [    ] ,                           
3,N,6,N,     , si [    ]     no [    ] ,                           
3,F,7,F,     , si [    ]     no [    ] ,                           
3,F,7,N,     , si [    ]     no [    ] ,                           
3,N,7,F,     , si [    ]     no [    ] ,                           
3,N,7,N,     , si [    ]     no [    ] ,                           
4,F,5,F,     , si [    ]     no [    ] ,                           
4,F,5,N,     , si [    ]     no [    ] ,                           
4,N,5,F,     , si [    ]     no [    ] ,                           
4,N,5,N,     , si [    ]     no [    ] ,                           
4,F,6,F,     , si [    ]     no [    ] ,                           
4,F,6,N,     , si [    ]     no [    ] ,                           
4,N,6,F,     , si [    ]     no [    ] ,                           
4,N,6,N,     , si [    ]     no [    ] ,                           
4,F,7,F,     , si [    ]     no [    ] ,                           
4,F,7,N,     , si [    ]     no [    ] ,                           
4,N,7,F,     , si [    ]     no [    ] ,                           
4,N,7,N,     , si [    ]     no [    ] ,                           
5,F,6,F,     , si [    ]     no [    ] ,                           
5,F,6,N,     , si [    ]     no [    ] ,                           
5,N,6,F,     , si [    ]     no [    ] ,                           
5,N,6,N,N/A,N/A,Mismo diferencial
5,F,7,F,     , si [    ]     no [    ] ,                           
5,F,7,N,     , si [    ]     no [    ] ,                           
5,N,7,F,     , si [    ]     no [    ] ,                           
5,N,7,N,N/A,N/A,Mismo diferencial
6,F,7,F,     , si [    ]     no [    ] ,                           
6,F,7,N,     , si [    ]     no [    ] ,                           
6,N,7,F,     , si [    ]     no [    ] ,                           
6,N,7,N,N/A,N/A,Mismo diferencial
Barra,T,1,F,     , si [    ]     no [    ] ,                           
Barra,T,1,N,     , si [    ]     no [    ] ,                           
Barra,T,2,F,     , si [    ]     no [    ] ,                           
Barra,T,2,N, N/A ,N/A,Mismo diferencial
Barra,T,3,F,     , si [    ]     no [    ] ,                           
Barra,T,3,N,     , si [    ]     no [    ] ,                           
Barra,T,4,F,     , si [    ]     no [    ] ,                           
Barra,T,4,N, N/A ,N/A,Mismo diferencial
Barra,T,5,F,     , si [    ]     no [    ] ,                           
Barra,T,5,N,     , si [    ]     no [    ] ,                           
Barra,T,6,F,     , si [    ]     no [    ] ,                           
Barra,T,6,N, N/A ,N/A,Mismo diferencial
Barra,T,7,F,     , si [    ]     no [    ] ,                           
Barra,T,7,N, N/A ,N/A,Mismo diferencial
